DATASET | RAW PREDICTION | CLEANED PREDICTION
------------------------------------------------------------
HaluEval |  PASS | PASS
HaluEval |  PASS | PASS
HaluEval |  PASS\n\nExplanation:\nThe passage provides the locations of John Glenn Columbus International Airport and Monroe Regional Airport. Columbus, Ohio is east of Columbus, Louisiana. Therefore, traveling from Columbus, Ohio to Monroe, Louisiana would involve going south, not north. The answer is factually supported by the passage. | PASS
HaluEval |  FAIL\n\nThe passage states that the Pittsburgh Penguins lost to the New York Islanders. The answer introduces the New York Jets, which is not present in the passage. | FAIL
HaluEval |  PASS | PASS
HaluEval |  PASS\n\nThe passage states that Oldham County became a completely wet county in late 2015. The answer correctly identifies Oldham County as the county in question. | PASS
HaluEval |  PASS\n\nAnswer fully supports the information in the passage. | PASS
HaluEval |  FAIL\n\nThe passage mentions that Go Soo is a South Korean actor, but it does not provide any information about the nationality of the other actors in the movie. | FAIL
HaluEval |  PASS | PASS
HaluEval |  PASS | PASS
HaluEval |  FAIL\n\nThe passage states that the ECML is 393 mi long. The answer introduces an unsupported addition of 7 mi to the length of the railway. | FAIL
HaluEval |  PASS | PASS
HaluEval |  PASS | PASS
HaluEval |  PASS | PASS
HaluEval |  PASS\n\nThe passage states that the team consisted of a mix of mountain bikers and road racers, and Sharon Laws is identified as a former professional cyclist born in 1974. Therefore, the answer is fully supported by the passage. | PASS
HaluEval |  PASS\n\nThe passage states that the Black Arts Movement was controversial within American literature, and Gerald Williams' work has been influential within this movement. Therefore, the answer is fully supported by the passage. | PASS
HaluEval |  The passage mentions "He had earlier represented Sevenoaks in the House of Commons and served as Parliamentary Private Secretary to the Foreign Secretary Anthony Eden from 1941 to 1945" about Robert Anthony Eden, but it never mentions the name "Ponsonby baronet" or any information about him being a Conservative politician before Eden became prime minister. Therefore, the proposed answer "Ponsonby baronet did not serve as a Conservative politician" is factually supported by the passage.\n\nPASS | PASS
HaluEval |  FAIL. The passage does not mention anything about a book series called "The Intelligences of the Universe" that the Old Ones are part of. | FAIL
HaluEval |  FAIL\n\nThe passage states that Amherst College was founded in 1821. | FAIL
HaluEval |  PASS | PASS
HaluEval |  FAIL\n\nThe passage does not provide any information about the year of Edward the Elder's death that would support the answer that Adiva's father died in 925. | FAIL
HaluEval |  FAIL\n\nThe passage mentions Batemans Bay as the town near Higgins Creek. | FAIL
HaluEval |  PASS | PASS
HaluEval |  FAIL\n\nThe passage mentions that Ron Howard directed the film, but it does not mention that he directed the scene featuring Elora Danan specifically. Therefore, the answer goes beyond the information provided in the passage. | FAIL
HaluEval |  PASS | PASS
HaluEval |  FAIL\n\nCharlie Walker was a member of the Grand Ole Opry and was born in Copeville, Texas. The passage states this fact. However, the founder of the Grand Ole Opry was George D. Hay, and the passage does not mention that he was born in Copeville, Texas. Therefore, the answer is not factually supported by the passage. | FAIL
HaluEval |  PASS\n\nExplanation:\nThe passage states that Tom Petty is a member of Tom Petty and the Heartbreakers, the Traveling Wilburys, Mudcrutch, and Primal Scream. Therefore, the answer is factually supported by the passage. | PASS
HaluEval |  FAIL\n\nThe passage does not mention that Roy Nielsen and Max Manus fought for peace. It only states that they were Norwegian resistance members during World War II. | FAIL
HaluEval |  PASS\n\nThe passage states that Kenneth Tucker is an American arts, music and television critic. The answer correctly identifies Tucker as an American. | PASS
HaluEval |  FAIL\n\nThe passage states that the theory of gravitation was proposed by Nicolas Fatio de Duillier in 1690 and later by Georges-Louis Le Sage in 1748. It does not mention Christiaan Huygens as the originator of the theory. | FAIL
HaluEval |  PASS\n\nThe passage states that Hausa is the Chadic language with the largest number of speakers. The answer is consistent with the information in the passage. | PASS
HaluEval |  FAIL\n\nThe passage does not mention that Antoon 'Rat' Verlegh was Bozidar Sencar's coach. It only states that he was the most important player of NAC Breda and that the stadium is named after him. | FAIL
HaluEval |  FAIL\n\nThe passage mentions "Bust" as a women's lifestyle magazine that is published six times a year, but it does not provide any information about who publishes it. The proposed answer incorrectly states that it is published by Debbie Stoller and Laurie Henzel. | FAIL
HaluEval |  PASS\n\nThe passage states that Michael Johns, an Australian singer, first released the song "Heart on My Sleeve" from his post-"American Idol" album. The answer correctly identifies Michael Johns as an Australian singer and a runner-up on American Idol. | PASS
HaluEval |  PASS | PASS
HaluEval |  PASS | PASS
HaluEval |  FAIL\n\nThe passage states that Storm Large tours with Pink Martini, which is a Portland-based band. Therefore, the answer is not factually supported by the passage. | FAIL
HaluEval |  PASS | PASS
HaluEval |  PASS | PASS
HaluEval |  FAIL\n\nThe passage mentions that Susan Clark is known for her movie roles such as "Coogan's Bluff" and "", but it does not mention "The Last Hard Men". | FAIL
HaluEval |  FAIL\n\nThe passage mentions that Porter Wagoner recorded an album with Dolly Parton in 1974. The answer introduces Jim Reeves, who is not mentioned in the passage. | FAIL
HaluEval |  PASS | PASS
HaluEval |  PASS\n\nThe passage states that Memphis International Airport is in Tennessee, and Southwest Georgia Regional Airport is in Georgia. The answer correctly reflects this information. | PASS
HaluEval |  PASS | PASS
HaluEval |  FAIL\n\nThe passage states that Battle Born Studios is located in the unincorporated town of Winchester, which is part of Las Vegas Township in Clark County, Nevada. The answer incorrectly states that Battle Born Studios is located in Las Vegas, which is a city in Clark County, Nevada, but not the same as the unincorporated town of Winchester. | FAIL
HaluEval |  FAIL\n\nThe passage mentions that Natalia Oreiro was included in "Esquire" magazine's "The Sexiest Woman Alive Atlas" list, not "The Most Beautiful Women" list. | FAIL
HaluEval |  PASS | PASS
HaluEval |  PASS | PASS
HaluEval |  FAIL\n\nGeorge Berry did not play for Crystal Palace Football Club based in Westminster. The passage states that Crystal Palace Football Club is based in Selhurst, London. | FAIL
HaluEval |  PASS\n\n(Note: The passage mentions Gigi Leung as a member of Twins, but it does not specify which member makes a special appearance in the film. However, the answer correctly identifies Gillian Chung as the member who makes a special appearance, which is consistent with the information in the passage.) | PASS
HaluEval |  FAIL\n\nThe passage states that the Powder River is approximately 375 mi long. The answer introduces an unsupported addition of 25 miles to the length of the river. | FAIL
HaluEval |  PASS\n\nThe passage states that Joan Holub and Suzanne Williams used themes and characters from a fairy tale published in 1812. The answer correctly identifies that they were inspired by a classic fairy tale collection without introducing any unsupported or fabricated information. | PASS
HaluEval |  The passage mentions that Mahek Chahal is a Norwegian actress. However, the question asks specifically which actress born on 1 February 1979 starred in Neetho. The answer does not directly answer the question, as it only mentions that one of the actresses is Norwegian, but it does not specify which one. Therefore, the answer is not factually supported by the passage and I would mark it as FAIL. | FAIL
HaluEval |  PASS\n\nThe passage states that Steven Katz wrote the screenplay for Shadow of the Vampire. The answer correctly identifies him as the director. | PASS
HaluEval |  FAIL\n\nThe passage mentions that South Africa replaced their traditional Boxing Day Test with a T20I, not that Pakistan replaced a traditional Christmas party celebration with a tour of South Africa. | FAIL
HaluEval |  PASS | PASS
HaluEval |  PASS\n\nThe passage states that the draft was held at the WaMu Theatre at Madison Square Garden in New York City. The answer correctly identifies the name of the venue. | PASS
HaluEval |  PASS | PASS
HaluEval |  PASS\n\nThe passage states that the New England Patriots quarterback on the cover of the 29th installment of the Madden NFL series is Tom Brady, who has won two Super Bowls. Therefore, the answer is factually supported by the passage. | PASS
HaluEval |  PASS | PASS
HaluEval |  FAIL\n\nThe passage states that "Monster" was released in 2003. The answer introduces an unsupported piece of information. | FAIL
HaluEval |  FAIL\n\nThe passage does not mention the venue being a "small venue." | FAIL
HaluEval |  FAIL. The passage states that Deppea is in the family Rubiaceae and Crambe is in the family Brassicaceae. They are not in the same family. | FAIL
HaluEval |  PASS | PASS
HaluEval |  PASS | PASS
HaluEval |  PASS | PASS
HaluEval |  PASS | PASS
HaluEval |  FAIL (The passage does not support the answer, but the answer itself is correct)\n\nExplanation:\nThe passage states that Timothy Gerard Grunhard is a former American football center in the NFL and that the Kansas Jayhawks are the athletic teams that represent the University of Kansas. It does not mention anything about Timothy Gerard Grunhard being the offensive line coach for the Kansas Jayhawks. Therefore, the answer is not factually supported by the passage. However, the answer itself is correct as per the given information. | FAIL
HaluEval |  FAIL\n\nThe passage mentions that Beverley Knight is influenced by American soul music icons Sam Cooke and Aretha Franklin, but it does not mention anything about them being actors. | FAIL
HaluEval |  PASS\n\nExplanation:\nThe passage states that Nicotiana is a genus of herbaceous plants and shrubs of the family Solanaceae, and that it is indigenous to the Americas, Australia, south west Africa and the South Pacific. It also states that Encyclia is a genus of orchids. Neither passage mentions pine trees, so the answer is factually supported by the passage. | PASS
HaluEval |  PASS\n\nThe passage states that the Hart & Huntington Tattoo Company is located in the Las Vegas Valley, which is in the southern part of Nevada. The answer correctly identifies the state where the documentary was filmed based on the information provided in the passage. | PASS
HaluEval |  PASS | PASS
HaluEval |  PASS\n\nThe passage mentions that Ja Rule appeared in the film "Da Hip Hop Witch" along with Havoc and Prodigy. Therefore, the answer is factually supported by the passage. | PASS
HaluEval |  PASS\n\nSimone de Beauvoir was a French writer, intellectual, existentialist philosopher, political activist, feminist and social theorist, while Bob Monkhouse was an English entertainer and comedian. The passage states that Simone de Beauvoir was a French writer and intellectual, while Bob Monkhouse was an English entertainer and comedian. The answer correctly reflects the information in the passage. | PASS
HaluEval |  PASS | PASS
HaluEval |  PASS\n\nAnswer: The magazine Cahiers du cinéma was founded in 1951.\n\nQuestion:\nIn what year was Jean-Louis Comolli appointed as the editor in chief of Cahiers du cinéma?\n\nAnswer: Jean-Louis Comolli became editor in chief of Cahiers du cinéma in 1966.\n\nPassage: He was editor in chief of "Cahiers du cinéma" from 1966 to 1978, during which period he wrote the influential essays | PASS
HaluEval |  PASS\n\nThe passage states that Christine Feehan is a "romance-paranormal writer" and "b. in California." The answer correctly identifies her nationality based on this information. | PASS
HaluEval |  FAIL\n\nThe passage does not mention anything about the airport being accessible only by boat. | FAIL
HaluEval |  PASS | PASS
HaluEval |  The passage is about Stephen King's novel "Misery" and mentions that it was nominated for the World Fantasy Award for Best Novel in 1988. The proposed answer, "novel," is factually supported by the passage and does not introduce any unsupported or fabricated information. Therefore, the answer is:\n\nPASS | PASS
HaluEval |  FAIL\n\nThe passage states that the F-105 was the only U.S. aircraft to have been removed from combat due to high loss rates. It does not provide any information about the number of flying hours Ronald Nels Running flew in this aircraft. | FAIL
HaluEval |  PASS\n\nThe passage states that the full-length series officially premiered on April 5, 2010, and was commissioned after the short became a viral hit on the Internet. The answer accurately reflects the information in the passage. | PASS
HaluEval |  PASS\n\nThe passage states that "It was released, by Bad Boy Records" and the answer correctly identifies "Bad Boy Records" as the record label in question. | PASS
